title,units,description,prereqs,coreqs,grading_type,note,combined
ISE 219 - HCI for Cyber Security,3 unit(s),"The course covers HCI in cyber security that include: authentication and access control, trust, user privacy and data protections, cyber security in social networking, data protection and security in healthcare , cyber security in eCommerce, mobile, computing & cloud computing, compliance and regulation, visualization tools and techniques in cyber security and privacy.",Graduate Standing.,No corequisites,Letter Graded Cross-listed with CMPE 219 / PSYC 219 . Industrial and Systems Engineering is responsible for scheduling.,No additional notes,"Title: ISE 219 - HCI for Cyber Security; description: The course covers HCI in cyber security that include: authentication and access control, trust, user privacy and data protections, cyber security in social networking, data protection and security in healthcare , cyber security in eCommerce, mobile, computing & cloud computing, compliance and regulation, visualization tools and techniques in cyber security and privacy.; units: 3 unit(s); prereqs: Graduate Standing.; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with CMPE 219 / PSYC 219 . Industrial and Systems Engineering is responsible for scheduling."
ISE 220 - Interaction Design II,3 unit(s),"Advanced topics for design of product and service experiences focused on methods that motivate, delight and influence human behavior during engagement with applications and information in multiple media and across devices ranging from wearables to mobile and Web.",ISE 218,No corequisites,Letter Graded,No additional notes,"Title: ISE 220 - Interaction Design II; description: Advanced topics for design of product and service experiences focused on methods that motivate, delight and influence human behavior during engagement with applications and information in multiple media and across devices ranging from wearables to mobile and Web.; units: 3 unit(s); prereqs: ISE 218; coreqs: No corequisites; grading_type: Letter Graded"
ISE 222 - Adv Sys Engr,3 unit(s),"Systems engineering and analysis concepts, methodologies, models, and tools needed to understand and implement total life-cycle approach to systems. Model Based Systems Engineering for domain-specific models. System analysis models for economic evaluation, optimization and control. Systems design for reliability, maintainability, usability, producibility, logistics, disposability and sustainability.",ISE 201 or equivalent. Allowed Declared Majors: Any Engineering.,No corequisites,Letter Graded,No additional notes,"Title: ISE 222 - Adv Sys Engr; description: Systems engineering and analysis concepts, methodologies, models, and tools needed to understand and implement total life-cycle approach to systems. Model Based Systems Engineering for domain-specific models. System analysis models for economic evaluation, optimization and control. Systems design for reliability, maintainability, usability, producibility, logistics, disposability and sustainability.; units: 3 unit(s); prereqs: ISE 201 or equivalent. Allowed Declared Majors: Any Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 223 - Dec Model Sus Dev,3 unit(s),"Planning and decision models for resource management toward achieving economic, environmental, and social objectives in public and private organizations. Key modeling approaches include life cycle assessment, capital project evaluation, multi-criteria decision making under uncertainty, and machine learning. Exploration of business models for service economy, extended producer responsibility, and sustainable development.",ISE 130 or equivalent,No corequisites,Letter Graded Sustainability Focused - SDG 12: Responsible Consumption and Production,No additional notes,"Title: ISE 223 - Dec Model Sus Dev; description: Planning and decision models for resource management toward achieving economic, environmental, and social objectives in public and private organizations. Key modeling approaches include life cycle assessment, capital project evaluation, multi-criteria decision making under uncertainty, and machine learning. Exploration of business models for service economy, extended producer responsibility, and sustainable development.; units: 3 unit(s); prereqs: ISE 130 or equivalent; coreqs: No corequisites; grading_type: Letter Graded Sustainability Focused - SDG 12: Responsible Consumption and Production"
ISE 230 - Advanced Operations Research,3 unit(s),Advanced operations research techniques and topics. Practical consideration in understanding and utilizing operations research methods. Critical analysis of case studies.,ISE 130 .,No corequisites,Letter Graded,No additional notes,Title: ISE 230 - Advanced Operations Research; description: Advanced operations research techniques and topics. Practical consideration in understanding and utilizing operations research methods. Critical analysis of case studies.; units: 3 unit(s); prereqs: ISE 130 .; coreqs: No corequisites; grading_type: Letter Graded
ISE 233 - Operational Data Analysis for Industrial Systems,3 unit(s),"Analysis of how data can be used to improve industrial operations. IoT. Data collection, storage, and communication technologies and approaches. Maintenance, operational performance, and quality applications of operational data analysis and machine learning.",ISE 201 and ISE 140 or instructor consent,No corequisites,Letter Graded,No additional notes,"Title: ISE 233 - Operational Data Analysis for Industrial Systems; description: Analysis of how data can be used to improve industrial operations. IoT. Data collection, storage, and communication technologies and approaches. Maintenance, operational performance, and quality applications of operational data analysis and machine learning.; units: 3 unit(s); prereqs: ISE 201 and ISE 140 or instructor consent; coreqs: No corequisites; grading_type: Letter Graded"
ISE 234 - Electricity Markets & Power Systems Analytics,3 unit(s),Overview of electricity industry structure and market operations. Applications of analytics methodologies such as Machine Learning and Artificial Intelligence in electric power systems operations using computer programming languages.,Graduate Standing in Engineering.,No corequisites,Letter Graded,No additional notes,Title: ISE 234 - Electricity Markets & Power Systems Analytics; description: Overview of electricity industry structure and market operations. Applications of analytics methodologies such as Machine Learning and Artificial Intelligence in electric power systems operations using computer programming languages.; units: 3 unit(s); prereqs: Graduate Standing in Engineering.; coreqs: No corequisites; grading_type: Letter Graded
ISE 235 - Quality Assurance and Reliability,3 unit(s),"Selection of adequate variables to monitor a manufacturing/service process; quality improvement through process design, vendor management, customer feedback and product development; use of statistical control charts, the Pareto principle, PDCA, process capability; design for reliability, statistical techniques for analysis of reliability and reliability growth.",ISE 130 (or equivalent). Allowed Declared Majors: Any Engineering.,No corequisites,Letter Graded,No additional notes,"Title: ISE 235 - Quality Assurance and Reliability; description: Selection of adequate variables to monitor a manufacturing/service process; quality improvement through process design, vendor management, customer feedback and product development; use of statistical control charts, the Pareto principle, PDCA, process capability; design for reliability, statistical techniques for analysis of reliability and reliability growth.; units: 3 unit(s); prereqs: ISE 130 (or equivalent). Allowed Declared Majors: Any Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 240 - Analytics for Systems Engineering,3 unit(s),"Application of data analysis, predictive and prescriptive (optimization) modeling techniques to analyze, model, and optimize real-world industrial and systems engineering problems using computer programming languages.","ISE 170 or equivalent, ISE 130 or equivalent Classified graduate standing or instructor consent",No corequisites,Letter Graded,No additional notes,"Title: ISE 240 - Analytics for Systems Engineering; description: Application of data analysis, predictive and prescriptive (optimization) modeling techniques to analyze, model, and optimize real-world industrial and systems engineering problems using computer programming languages.; units: 3 unit(s); prereqs: ISE 170 or equivalent, ISE 130 or equivalent Classified graduate standing or instructor consent; coreqs: No corequisites; grading_type: Letter Graded"
ISE 241 - Advanced Operations Planning and Control,3 unit(s),"Design, implementation and evaluation of production and service systems; manufacturing strategy, choice of processes, resources planning, production and procurement control, forecasting methods, scheduling considerations and decision-making techniques.",ISE 140 or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: ISE 241 - Advanced Operations Planning and Control; description: Design, implementation and evaluation of production and service systems; manufacturing strategy, choice of processes, resources planning, production and procurement control, forecasting methods, scheduling considerations and decision-making techniques.; units: 3 unit(s); prereqs: ISE 140 or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 242 - Advanced Service Systems Engineering and Management,3 unit(s),"Strategies, approaches, and quantitative methods to design services, manage operations, and optimize customer service experience. Applies industrial engineering techniques in real-life business situations. Particular emphasis on the case-method and interactive learning.",Graduate standing.,No corequisites,Letter Graded,No additional notes,"Title: ISE 242 - Advanced Service Systems Engineering and Management; description: Strategies, approaches, and quantitative methods to design services, manage operations, and optimize customer service experience. Applies industrial engineering techniques in real-life business situations. Particular emphasis on the case-method and interactive learning.; units: 3 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 243 - Advanced Supply Chain Analytics,3 unit(s),Machine Learning and Artificial Intelligence methodologies and their applications in supply chain applications.,"ISE 240 , ISE 245 or equivalent.",No corequisites,Letter Graded,No additional notes,"Title: ISE 243 - Advanced Supply Chain Analytics; description: Machine Learning and Artificial Intelligence methodologies and their applications in supply chain applications.; units: 3 unit(s); prereqs: ISE 240 , ISE 245 or equivalent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 244 - AI Tools and Practice for Systems Engineering,3 unit(s),"Artificial Intelligence software tools useful for industrial and systems engineering. Emphasis on clear understanding of the mathematics behind them, what tools to use in which conditions, and how to interpret and use the results.",ISE 201 (or equivalent); or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: ISE 244 - AI Tools and Practice for Systems Engineering; description: Artificial Intelligence software tools useful for industrial and systems engineering. Emphasis on clear understanding of the mathematics behind them, what tools to use in which conditions, and how to interpret and use the results.; units: 3 unit(s); prereqs: ISE 201 (or equivalent); or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 245 - Advanced Supply Chain Engineering,3 unit(s),"Supply chain concepts, strategies; emphasis on analytical tools to solve supply chain problems. Fundamentals of supply chain modeling of inventory, transportation, location, facility planning problems. Information sharing, risk pooling. Mechanisms for increasing profits.",ISE 140 .,No corequisites,Letter Graded Sustainability Related - SDG 12: Responsible Consumption and Production,No additional notes,"Title: ISE 245 - Advanced Supply Chain Engineering; description: Supply chain concepts, strategies; emphasis on analytical tools to solve supply chain problems. Fundamentals of supply chain modeling of inventory, transportation, location, facility planning problems. Information sharing, risk pooling. Mechanisms for increasing profits.; units: 3 unit(s); prereqs: ISE 140 .; coreqs: No corequisites; grading_type: Letter Graded Sustainability Related - SDG 12: Responsible Consumption and Production"
ISE 247 - Logistics for Supply Chain,3 unit(s),"An exploration of logistics for entire supply chain system from inbound movement through material management to physical distribution to customers. Topics include: packaging and handling, material management, transportation and traffic management, facility location and global logistics.",Graduate standing.,No corequisites,Letter Graded Sustainability Related - SDG 12: Responsible Consumption and Production,No additional notes,"Title: ISE 247 - Logistics for Supply Chain; description: An exploration of logistics for entire supply chain system from inbound movement through material management to physical distribution to customers. Topics include: packaging and handling, material management, transportation and traffic management, facility location and global logistics.; units: 3 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Letter Graded Sustainability Related - SDG 12: Responsible Consumption and Production"
ISE 250 - Leading the Six Sigma Improvement Project,3 unit(s),"Improvement projects are critical. Covers Six Sigma methodology, problem-solving tools to improve cost, quality, time and variability. Management of projects, teams, change, and benchmarking; root cause problem solving, and implementation effectiveness. Practical experience through course project.",Instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: ISE 250 - Leading the Six Sigma Improvement Project; description: Improvement projects are critical. Covers Six Sigma methodology, problem-solving tools to improve cost, quality, time and variability. Management of projects, teams, change, and benchmarking; root cause problem solving, and implementation effectiveness. Practical experience through course project.; units: 3 unit(s); prereqs: Instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 251 - Managing the Lean Enterprise Improvement Program,3 unit(s),"The elements of an effective organizational improvement program composed of multiple projects. Covers capabilities-based strategy; dimensions of performance such as cost, quality and time; when to use Six Sigma, Lean, Theory of Constraints and Reengineering. Satisfies GWAR: Graduation Writing Assessment Requirement.",Instructor consent.,No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program.,"Title: ISE 251 - Managing the Lean Enterprise Improvement Program; description: The elements of an effective organizational improvement program composed of multiple projects. Covers capabilities-based strategy; dimensions of performance such as cost, quality and time; when to use Six Sigma, Lean, Theory of Constraints and Reengineering. Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: Instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 260 - Healthcare Delivery Systems,3 unit(s),"Overview and analysis of health care delivery systems in the US with emphasis on the assessment, analysis, and improvement of operational quality, efficiency, and effectiveness. Impact on primary components of health care systems: facilities, approaches to care and treatment modalities, and personnel. Quantitative and qualitative techniques and applications to improve health care systems; performance measures used to evaluate access and quality of care. Impact of healthcare policies, laws, economics, and current US health care culture on organizational performance and patient outcomes",Graduate Standing,No corequisites,Letter Graded,No additional notes,"Title: ISE 260 - Healthcare Delivery Systems; description: Overview and analysis of health care delivery systems in the US with emphasis on the assessment, analysis, and improvement of operational quality, efficiency, and effectiveness. Impact on primary components of health care systems: facilities, approaches to care and treatment modalities, and personnel. Quantitative and qualitative techniques and applications to improve health care systems; performance measures used to evaluate access and quality of care. Impact of healthcare policies, laws, economics, and current US health care culture on organizational performance and patient outcomes; units: 3 unit(s); prereqs: Graduate Standing; coreqs: No corequisites; grading_type: Letter Graded"
ISE 261 - Medical Errors Reduction and Patients Safety Engineering,3 unit(s),Standardization of national reporting of medical errors; patient safety and high risks processes performance analysis; Safety improvements utilizing human factors techniques; information technology applications to reduce medication errors and improve patient safety; structured teams and systems to reduce clinical errors.,Graduate standing.,No corequisites,Letter Graded,No additional notes,Title: ISE 261 - Medical Errors Reduction and Patients Safety Engineering; description: Standardization of national reporting of medical errors; patient safety and high risks processes performance analysis; Safety improvements utilizing human factors techniques; information technology applications to reduce medication errors and improve patient safety; structured teams and systems to reduce clinical errors.; units: 3 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Letter Graded
ISE 265 - Advanced System Simulation,3 unit(s),"Use of computerized simulation and modeling techniques to conduct experiments, evaluate the costs of a process, evaluate alternative inspection policies and determine effects of JIT management models for shop setting.",ISE 167 or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: ISE 265 - Advanced System Simulation; description: Use of computerized simulation and modeling techniques to conduct experiments, evaluate the costs of a process, evaluate alternative inspection policies and determine effects of JIT management models for shop setting.; units: 3 unit(s); prereqs: ISE 167 or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 270 - Information Engineering,3 unit(s),"Technologies, strategies and systems for planning, analyzing, designing and implementing data resources in order to ensure and continuously improve processes in the enterprise; object-oriented development, Computer-Aided Software/Systems Engineering (CASE); information superhighway, client/server computing and distributed database management systems. Satisfies GWAR: Graduation Writing Assessment Requirement.",CMPE 30 or instructor consent. Allowed Declared Majors: Any Engineering.,No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program. Cross-listed with CMPE 270 . Industrial and Systems Engineering is responsible for scheduling.,"Title: ISE 270 - Information Engineering; description: Technologies, strategies and systems for planning, analyzing, designing and implementing data resources in order to ensure and continuously improve processes in the enterprise; object-oriented development, Computer-Aided Software/Systems Engineering (CASE); information superhighway, client/server computing and distributed database management systems. Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: CMPE 30 or instructor consent. Allowed Declared Majors: Any Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
ISE 290 - Human Factors & Ergonomics Professional Seminar,2 unit(s),"Real world skills necessary to start your professional HR/Ergo career, i.e. public presentation, terminology, field evaluations, current research and industry issues in human factors and ergonomics.",Graduate standing.,No corequisites,Credit/No Credit,No additional notes,"Title: ISE 290 - Human Factors & Ergonomics Professional Seminar; description: Real world skills necessary to start your professional HR/Ergo career, i.e. public presentation, terminology, field evaluations, current research and industry issues in human factors and ergonomics.; units: 2 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Credit/No Credit"
ISE 292 - International Program Studies,1-12 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",No prerequisites,No corequisites,Mixed Grading,No additional notes,"Title: ISE 292 - International Program Studies; description: Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.; units: 1-12 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Mixed Grading"
ISE 297 - Special Topics in Industrial Engineering,1-4 unit(s),Special topics to augment regularly-scheduled courses.,Graduate standing in industrial engineering.,No corequisites,Letter Graded,No additional notes,Title: ISE 297 - Special Topics in Industrial Engineering; description: Special topics to augment regularly-scheduled courses.; units: 1-4 unit(s); prereqs: Graduate standing in industrial engineering.; coreqs: No corequisites; grading_type: Letter Graded
ISE 298 - Special Problems,1-4 unit(s),Advanced individual work in industrial engineering. Repeatable for up to 18 units when project changes. Course may be repeated for credit for up to 16 units.,Instructor consent. Not available to Open University Students.,No corequisites,Mandatory Credit/No Credit/RP,No additional notes,Title: ISE 298 - Special Problems; description: Advanced individual work in industrial engineering. Repeatable for up to 18 units when project changes. Course may be repeated for credit for up to 16 units.; units: 1-4 unit(s); prereqs: Instructor consent. Not available to Open University Students.; coreqs: No corequisites; grading_type: Mandatory Credit/No Credit/RP
ISE 299 - Masters Thesis,1-4 unit(s),Repeatable: Repeatable for credit.,Consent of thesis advisor. Not available to Open University Students.,No corequisites,Mandatory Credit/No Credit/RP,No additional notes,Title: ISE 299 - Masters Thesis; description: Repeatable: Repeatable for credit.; units: 1-4 unit(s); prereqs: Consent of thesis advisor. Not available to Open University Students.; coreqs: No corequisites; grading_type: Mandatory Credit/No Credit/RP
ISE 1290R - Culminating Experience Supervision,1 unit(s),Continued work on thesis or project. Course may be repeated for credit for up to 16 units.,Outstanding RP grade in a preceding semester in a thesis or project class,No corequisites,Credit/No Credit/No Degree Credit,No Degree Credit.,Title: ISE 1290R - Culminating Experience Supervision; description: Continued work on thesis or project. Course may be repeated for credit for up to 16 units.; units: 1 unit(s); prereqs: Outstanding RP grade in a preceding semester in a thesis or project class; coreqs: No corequisites; grading_type: Credit/No Credit/No Degree Credit
ENGR 5 - Science of High Technology,3 unit(s),"Scientific principles underlying commonly used high technology devices and systems such as the computer, cell phone, IPODS, cameras, and the Internet. Emphasizes practical applications of scientific principles to contemporary engineering products and services.  Satisfies B1: Physical Science.",No prerequisites,No corequisites,Letter Graded,No additional notes,"Title: ENGR 5 - Science of High Technology; description: Scientific principles underlying commonly used high technology devices and systems such as the computer, cell phone, IPODS, cameras, and the Internet. Emphasizes practical applications of scientific principles to contemporary engineering products and services.  Satisfies B1: Physical Science.; units: 3 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 8Q - Engineering Success,1 unit(s),"Combination of workshop and lab exercises emphasizing group interaction, communications skills and problem solving for incoming students. May be repeated for a total of 2 units. Misc/Lab: Activity 2 hours.Course may be repeated for credit for up to 2 units.",No prerequisites,No corequisites,Credit/No Credit,No additional notes,"Title: ENGR 8Q - Engineering Success; description: Combination of workshop and lab exercises emphasizing group interaction, communications skills and problem solving for incoming students. May be repeated for a total of 2 units. Misc/Lab: Activity 2 hours.Course may be repeated for credit for up to 2 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Credit/No Credit"
ENGR 10 - Introduction to Engineering,3 unit(s),"Introduction to engineering through hands-on design projects, case studies, and problem-solving using computers. Students also acquire non-technical skills, such as team skills and the ability to deal with ethical dilemmas. Lecture 2 hours/Lab 3 hours.Satisfies E: Human Understanding & Development.","Eligible for MATH 19 and Writing Enrollment Category W-I or W-II, or ENGL 1AF with a grade of CR, or ENGL 1A with a grade of C- or better. Engineering Majors Only",No corequisites,Letter Graded.,No additional notes,"Title: ENGR 10 - Introduction to Engineering; description: Introduction to engineering through hands-on design projects, case studies, and problem-solving using computers. Students also acquire non-technical skills, such as team skills and the ability to deal with ethical dilemmas. Lecture 2 hours/Lab 3 hours.Satisfies E: Human Understanding & Development.; units: 3 unit(s); prereqs: Eligible for MATH 19 and Writing Enrollment Category W-I or W-II, or ENGL 1AF with a grade of CR, or ENGL 1A with a grade of C- or better. Engineering Majors Only; coreqs: No corequisites; grading_type: Letter Graded."
ENGR 25 - The Digital World and Society,3 unit(s),"The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts. Satisfies D: Social Sciences (formerly GE Area D1).",No prerequisites,No corequisites,Letter Graded Cross-listed with CS 25 . General Engineering is responsible for scheduling.,No additional notes,"Title: ENGR 25 - The Digital World and Society; description: The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts. Satisfies D: Social Sciences (formerly GE Area D1).; units: 3 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with CS 25 . General Engineering is responsible for scheduling."
ENGR 60SL - Engineering Projects in Community Service,1 unit(s),EPICS is a service-learning course where engineering students work in multidisciplinary teams to undertake community-identified engineering projects. Students will gain insight into design and development processes and perform and report upon tasks consistent with their level of discipline expertise. Course may be repeated for credit for up to 6 units.,Engineering major; non-remedial,No corequisites,Letter Graded,No additional notes,Title: ENGR 60SL - Engineering Projects in Community Service; description: EPICS is a service-learning course where engineering students work in multidisciplinary teams to undertake community-identified engineering projects. Students will gain insight into design and development processes and perform and report upon tasks consistent with their level of discipline expertise. Course may be repeated for credit for up to 6 units.; units: 1 unit(s); prereqs: Engineering major; non-remedial; coreqs: No corequisites; grading_type: Letter Graded
ENGR 92 - International Program Studies,1-6 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs. Course may be repeated for credit for up to 6 units.",No prerequisites,No corequisites,Mixed Grading,No additional notes,"Title: ENGR 92 - International Program Studies; description: Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs. Course may be repeated for credit for up to 6 units.; units: 1-6 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Mixed Grading"
ENGR 100W - Engineering Reports,3 unit(s),"Regular technical writing assignments and company-focused oral presentations while integrating effects of environmental factors as they relate to products, systems and engineering processes. Lecture 3 hours/lab 3 hours.Satisfies SJSU Studies R: Earth, Environment, and Sustainability + Writing in the Disciplines (WID).","ENGL 1B or equivalent second semester composition course (with a grade of C- or better); completion of core GE; and upper division standing. Or Graduate or Postbaccalaureate level. Allowed Declared Majors: All Engineering, Aviation, Engineering Technology, Mathematics and Applied Mathematics.",No corequisites,Letter Graded,"Must be passed with C or better to satisfy the CSU Graduation Writing Assessment Requirement (GWAR). Sustainability Focused - SDG 9: Industry, Innovation and Infrastructure","Title: ENGR 100W - Engineering Reports; description: Regular technical writing assignments and company-focused oral presentations while integrating effects of environmental factors as they relate to products, systems and engineering processes. Lecture 3 hours/lab 3 hours.Satisfies SJSU Studies R: Earth, Environment, and Sustainability + Writing in the Disciplines (WID).; units: 3 unit(s); prereqs: ENGL 1B or equivalent second semester composition course (with a grade of C- or better); completion of core GE; and upper division standing. Or Graduate or Postbaccalaureate level. Allowed Declared Majors: All Engineering, Aviation, Engineering Technology, Mathematics and Applied Mathematics.; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 101 - Engineering Seminar,1 unit(s),"Seminars and guest lectures covering engineering-related career development, ethics, report writing, professionalism, finance, self-assessment and how to effectively function in a multidisciplinary environment. Repeatable course to be taken in consecutive semesters of the junior year of the BS General Engineering.  Course may be repeated for credit for up to 2 units.",Upper Division Standing in General Engineering Program.,No corequisites,Letter Graded,No additional notes,"Title: ENGR 101 - Engineering Seminar; description: Seminars and guest lectures covering engineering-related career development, ethics, report writing, professionalism, finance, self-assessment and how to effectively function in a multidisciplinary environment. Repeatable course to be taken in consecutive semesters of the junior year of the BS General Engineering.  Course may be repeated for credit for up to 2 units.; units: 1 unit(s); prereqs: Upper Division Standing in General Engineering Program.; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 102 - Renewable Energy Engineering,3 unit(s),"Scientific and engineering concepts associated with energy and the environment. Overview of the physical concept of energy and the scientific thoughts and processes associated with energy. Primary sources of energy in use today. Study of conservation of energy, and how energy use has synergism with pollution and its global effects on sustainability.","College level calculus, physics and chemistry.",No corequisites,Letter Graded Sustainability Focused - SDG 7: Affordable and Clean Energy,No additional notes,"Title: ENGR 102 - Renewable Energy Engineering; description: Scientific and engineering concepts associated with energy and the environment. Overview of the physical concept of energy and the scientific thoughts and processes associated with energy. Primary sources of energy in use today. Study of conservation of energy, and how energy use has synergism with pollution and its global effects on sustainability.; units: 3 unit(s); prereqs: College level calculus, physics and chemistry.; coreqs: No corequisites; grading_type: Letter Graded Sustainability Focused - SDG 7: Affordable and Clean Energy"
ENGR 119 - Energy and the Environment,3 unit(s),"Introduces students to the sources of energy that fuel industrial civilization and the environmental impacts of energy extraction, distribution, and consumption. Explores a range of approaches to moving society toward a more sustainable energy future. Satisfies SJSU Studies R: Earth, Environment, and Sustainability.","Passage of the Writing Skills Test (WST) or ENGL 100A / LLD 100A with a C or better (C- not accepted), completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.",No corequisites,Letter Graded,All of SJSU Studies courses require completion of the WST and upper division standing. Cross-listed with ENVS 119 . Environmental Studies is responsible for scheduling.,"Title: ENGR 119 - Energy and the Environment; description: Introduces students to the sources of energy that fuel industrial civilization and the environmental impacts of energy extraction, distribution, and consumption. Explores a range of approaches to moving society toward a more sustainable energy future. Satisfies SJSU Studies R: Earth, Environment, and Sustainability.; units: 3 unit(s); prereqs: Passage of the Writing Skills Test (WST) or ENGL 100A / LLD 100A with a C or better (C- not accepted), completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 120 - Programming Concepts for Behavioral and Social Science Applications,3 unit(s),"This course covers the application of Python programming to the fields of behavioral and social sciences, as well as basic building blocks of computers and the Web. This course also covers how programming is used in various careers.",STAT 95 or MATH 30 or MATH 30X or MATH 71 or MATH 71X .,No corequisites,Letter Graded,No additional notes,"Title: ENGR 120 - Programming Concepts for Behavioral and Social Science Applications; description: This course covers the application of Python programming to the fields of behavioral and social sciences, as well as basic building blocks of computers and the Web. This course also covers how programming is used in various careers.; units: 3 unit(s); prereqs: STAT 95 or MATH 30 or MATH 30X or MATH 71 or MATH 71X .; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 121 - Data Structures and Algorithms for Behavioral and Social Science Applications,3 unit(s),"Represent and analyze behavioral and social science data using Python and data structures such as classes, trees, and graphs; use related algorithms to solve behavioral and social science problems.",ENGR 120 with C- or instructor consent,No corequisites,Letter Graded,No additional notes,"Title: ENGR 121 - Data Structures and Algorithms for Behavioral and Social Science Applications; description: Represent and analyze behavioral and social science data using Python and data structures such as classes, trees, and graphs; use related algorithms to solve behavioral and social science problems.; units: 3 unit(s); prereqs: ENGR 120 with C- or instructor consent; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 122 - Data Technology for Behavioral and Social Science Applications,3 unit(s),"Use R programming language to collect, analyze, and present data sets from behavioral and social science applications.",ENGR 120,No corequisites,Letter Graded,No additional notes,"Title: ENGR 122 - Data Technology for Behavioral and Social Science Applications; description: Use R programming language to collect, analyze, and present data sets from behavioral and social science applications.; units: 3 unit(s); prereqs: ENGR 120; coreqs: No corequisites; grading_type: Letter Graded"
ENGR 130 - Introduction to Intellectual Property for Engineers,3 unit(s),"Covers the general framework for intellectual property law including an overview of patent, trademark, copyright, and trade secret laws. Covers how an engineer can spot and address common intellectual property issues in corporate settings.",Any 100W course with a grade of C or better.,No corequisites,Letter Graded,No additional notes,"Title: ENGR 130 - Introduction to Intellectual Property for Engineers; description: Covers the general framework for intellectual property law including an overview of patent, trademark, copyright, and trade secret laws. Covers how an engineer can spot and address common intellectual property issues in corporate settings.; units: 3 unit(s); prereqs: Any 100W course with a grade of C or better.; coreqs: No corequisites; grading_type: Letter Graded"
